supplier,group,name,unit,size_mm,weight_kg,price_rub,note
АРС-БЕТОН,Дорожные плиты,ПД 300.120.12-15,шт.,2990х1180х120,1050.0,7300.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"2ПП 15-1 (отступ 28,5см)",шт.,1700х160,680.0,2950.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"2ПП 15-2 (отступ 28,5см)",шт.,1700х160,700.0,3600.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,2ПП 20-2 (отв 1м),шт.,2200х160,1050.0,6500.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,2ПП 25-2 (сквозное/ниша),шт.,2700х200,2300.0,19000.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,3ПП 15-1 (отв 1м),шт.,1700х160,660.0,3650.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,3ПП 15-2 (отв 1м),шт.,1700х160,680.0,3850.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,4ПП 20-2 (сквозное/ниша),шт.,2200х160,1000.0,8150.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КО-1,шт.,900х580х100,80.0,700.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"КО-1,5",шт.,900х600х150,125.0,900.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КО-6,шт.,840х580х70,50.0,680.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 10-10,шт.,1160х1000х990,650.0,2350.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 10-3,шт.,1160х1000х290,190.0,1200.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 10-5,шт.,1160х1000х490,335.0,1400.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 10-6,шт.,1160х1000х590,390.0,1550.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 10-9,шт.,1160х1000х890,570.0,2150.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 12-10,шт.,1360х1200х990,900.0,3250.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 12-3,шт.,1360х1200х290,270.0,1850.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 12-5,шт.,1360х1200х490,270.0,2300.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 12-6,шт.,1360х1200х590,540.0,2500.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 12-9,шт.,1360х1200х890,810.0,3050.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 13-6,шт.,1410х1250х590,500.0,2650.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 13-9,шт.,1410х1250х890,750.0,3850.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 15-10,шт.,1680х1500х990,1150.0,4100.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 15-3,шт.,1680х1500х300,320.0,2300.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 15-5,шт.,1680х1500х490,550.0,2650.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 15-6,шт.,1680х1500х590,560.0,2750.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 15-9,шт.,1680х1500х890,950.0,3850.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 20-10,шт.,2200х2000х1000,1650.0,6550.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 20-5,шт.,2200х2000х490,800.0,4750.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 20-6,шт.,2200х2000х600,1000.0,4950.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 20-9,шт.,2200х2000х900,1400.0,5800.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 25-6,шт.,2700х2500х590,1200.0,12850.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 25-9,шт.,2700х2500х890,2200.0,16450.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-1,шт.,840х700х100,50.0,680.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"КС 7-1,5",шт.,840х700х150,60.0,680.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-10,шт.,840х700х990,400.0,1750.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-3,шт.,840х700х300,130.0,890.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-5,шт.,840х700х490,220.0,1100.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-6,шт.,840х700х590,240.0,1200.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,КС 7-9,шт.,840х700х890,380.0,1650.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 10,шт.,1160х100,260.0,1400.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"ПН 10 d-1,5м ГОСТ",шт.,1500х100,450.0,4800.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 12,шт.,1400х130,400.0,2000.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 15,шт.,1700х120,700.0,3050.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 15 d-2м ГОСТ,шт.,2000х120,950.0,9600.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 20,шт.,2200х120,1050.0,5500.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,"ПН 20 d-2,5м ГОСТ",шт.,2500х120,1480.0,15200.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 25,шт.,2700х140,2450.0,16000.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 25 d-3м ГОСТ,шт.,3000х140,3300.0,37500.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 7,шт.,860х100,120.0,770.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПН 8,шт.,960х100,190.0,1300.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПП 10-1,шт.,1160х120,200.0,1250.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПП 10-2,шт.,1160х120,250.0,1650.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПП 12-2,шт.,1400х150,450.0,2100.0,Цена с НДС
АРС-БЕТОН,Кольца и элементы колодцев,ПП 15-1,шт.,1700х160,680.0,2950.0,Цена с НДС
